#SCORING OFFENSE,G,TD,FG,XPT,2XP,DXP,Saf,Pts,Avg/G
Texas,13,95,890,68.5,,,,,
Oklahoma,14,101,1038,74.1,,,,,
#TIME OF POSSESSION,G,Total possession,Avg/G,,,,,,
Kansas State,13,434:52:00,33:27:00,,,,,,
TCU,12,395:04:00,32:55:00,,,,,,
Oklahoma,14,434:30:00,31:02:00,,,,,,
Texas,13,400:06:00,30:46:00,,,,,,
Iowa State,13,395:15:00,30:24:00,,,,,,
Oklahoma State,13,374:59:00,28:50:00,,,,,,
Baylor,13,369:00:00,28:23:00,,,,,,
West Virginia,12,340:23:00,28:21:00,,,,,,
Texas Tech,12,338:43:00,28:13:00,,,,,,
Kansas,12,320:40:00,26:43:00,,,,,,
#TURNOVER MARGIN,G,Fum,Int,Tot,Fum,Int,Tot,Margin,Per/G
Baylor,13,13,17,30,10,6,16,14,1.08
Texas,13,7,12,19,4,10,14,5,0.38
Texas Tech,12,5,14,19,7,8,15,4,0.33
Kansas State,13,4,11,15,9,5,14,1,0.08
TCU,12,4,16,20,9,11,20,0,0
Oklahoma State,13,7,12,19,8,12,20,-1,-0.08
Iowa State,13,7,6,13,7,9,16,-3,-0.23
West Virginia,12,6,8,14,5,15,20,-6,-0.5
Oklahoma,14,4,7,11,10,9,19,-8,-0.57
Kansas,12,2,6,8,6,14,20,-12,-1
